,Name,Remote Name,Formula,Comment
16,[Mascara_Valores_Ranking_Prestador],[Calculation_1531223899436277782],"IF [Parameters].[lista_ranking_prestadores] in(  'SINISTRO TOTAL DE INTERNACOES' 								,'CUSTO MEDIO DE INTERNACOES DE PARTO' 								,'CUSTO MEDIO DE HONORARIOS MEDICOS NAS INTERNACOES DE PARTO' ) then       IF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) > 9         THEN ""R$ "" + STR(ROUND([Valores_Ranking_Prestadores] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (9,8,7)         THEN ""R$ "" + STR(ROUND([Valores_Ranking_Prestadores] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (6,5,4)         THEN ""R$ "" + STR(ROUND([Valores_Ranking_Prestadores] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],2))) == 0         THEN """"     ELSE ""R$ "" + STR(ROUND([Valores_Ranking_Prestadores],2))     END  ELSEIF [Parameters].[lista_ranking_prestadores] in(  'TEMPO MEDIO DE INTERNACOES DE PARTO' 									,'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI' 									,'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI NEO' ) then       IF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) > 9         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^9, 2)) + ""B"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^6, 2)) + ""M"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^3, 2)) + ""K"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Prestadores],2)) + "" d""     END 	 ELSEIF [Parameters].[lista_ranking_prestadores] in( 'QUANTIDADE TOTAL DE INTERNACOES DE PARTO' ) then       IF  LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) > 9         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Prestadores],2))     END 	 ELSEIF [Parameters].[lista_ranking_prestadores] in(  'TAXA DE SINISTRO EM REEMBOLSO NAS INTERNACOES DE PARTO' 									,'TAXA DE INTERNACOES DE PARTO COM UTI' 									,'TAXA DE INTERNACOES DE PARTO COM ORIGEM PS' 									,'TAXA DE INTERNACOES DE PARTO COM UTI NEO' 									,'TAXA DE REINTERNACAO GERAL EM ATE 07 DIAS' 									,'TAXA DE REINTERNACAO PRESTADOR EM ATE 07 DIAS' 									,'TAXA DE SINISTRO DE MATERIAL DE INTERNACOES DE PARTO' 									,'TAXA DE SINISTRO DE MEDICAMENTOS DE INTERNACOES DE PARTO' ) then       IF  LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) > 9         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^9, 2)) + ""B"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^6, 2)) + ""M"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^3, 2)) + ""K"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Prestadores],2))     END 	 ELSE     IF  LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) > 9         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Prestadores] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Prestadores],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Prestadores],2))     END END ",
17,[FILTRO],[Calculation_354939971394945024],([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P1] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P1]) OR ([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P2] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P2]) ,
18,[FILTRO_P1],[Calculation_354939971395485697],([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P1] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P1]) ,
19,[QTD_INTERNACAO_P1],[Calculation_354939971395993603],IF      [FILTRO_P1]  THEN     [QTD_DISTINTA_INTERNACAO] ELSE      0 END ,
20,[Valores_indicadores_hist],[Calculation_637540871066681621],IF [Parameters].[lista_indicadores_hist] = 'SINISTRO TOTAL DE INTERNACOES'      THEN SUM([VAL_TOTAL_SINISTRO_INTERNACAO])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE SINISTRO EM REEMBOLSO NAS INTERNACOES DE PARTO'      THEN SUM([SINISTRO_REEMBOLSO_P1]) / SUM([SINISTRO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'QUANTIDADE TOTAL DE INTERNACOES DE PARTO'     THEN SUM([QTD_DISTINTA_INTERNACAO])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'CUSTO MEDIO DE INTERNACOES DE PARTO'     THEN SUM([SINISTRO_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'CUSTO MEDIO DE HONORARIOS MEDICOS NAS INTERNACOES DE PARTO'     THEN SUM([SINISTRO_HM_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'IDADE MEDIA DOS BENEFICIARIOS DE INTERNACOES DE PARTO'     THEN SUM([QTD_IDADE_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TEMPO MEDIO DE INTERNACOES DE PARTO'     THEN SUM([TOTAL_DIAS_INTERNADO_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI'     THEN SUM([TOTAL_DIAS_INTERNADO_UTI_P1]) / SUM([QTDE_INTERNACAO_UTI_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI NEO'     THEN SUM([TOTAL_DIAS_INTERNADO_UTI_NEO_P1]) / SUM([QTDE_INTERNACAO_UTI_NEO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE INTERNACOES DE PARTO COM UTI'     THEN SUM([QTDE_INTERNACAO_UTI_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE INTERNACOES DE PARTO COM ORIGEM PS'     THEN SUM([QTDE_INTERNACAO_PS_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE INTERNACOES DE PARTO COM UTI NEO'     THEN SUM([QTDE_INTERNACAO_UTI_NEO_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE REINTERNACAO GERAL EM ATE 07 DIAS'     THEN SUM([QTDE_REINTERNACAO_GERAL_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE REINTERNACAO PRESTADOR EM ATE 07 DIAS'     THEN SUM([QTDE_REINTERNACAO_PREST_P1]) / SUM([QTD_INTERNACAO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE SINISTRO DE MATERIAL DE INTERNACOES DE PARTO'     THEN SUM([QTDE_SINISTRO_MATERIAL_P1]) / SUM([SINISTRO_P1])  ELSEIF  [Parameters].[lista_indicadores_hist] = 'TAXA DE SINISTRO DE MEDICAMENTOS DE INTERNACOES DE PARTO'     THEN SUM([QTDE_SINISTRO_MEDICAMENTOS_P1]) / SUM([SINISTRO_P1]) END ,
21,[FILTRO_DAT_GRAFICO_HISTORICO],[Calculation_785596693978546181],"ATTR([DAT_MES_REFERENCIA]) >=  MAX(DATE(DATEADD('month', -23, DATETRUNC('month', {FIXED : MAX([DAT_MES_REFERENCIA])}))) ) ",
22,[Ordenador Ranking Prestadores],[Calculation_864128214580477952],IF [Parameters].[Ordenacao Ranking Prestadores] = 1 THEN 1 ELSE -1 END * [Valores_Ranking_Prestadores] ,
23,[IDADE_MEDIA_P1],[Calculation_877920491173380101],SUM([QTD_IDADE_P1]) / SUM([QTD_INTERNACAO_P1]) ,
24,[VAR_TX_REEMBOLSO],[Crescimento Custo Medio (cópia)_1697294133631164419],( [TX_REEMBOLSO_P1] - [TX_REEMBOLSO_P2] ) / [TX_REEMBOLSO_P2] ,
25,[VAR_TX_INTERNACAO_UTI_NEO],[Crescimento Custo Medio (cópia)_1697294133640105994],( [TX_INTERNACAO_UTI_NEO_P1] - [TX_INTERNACAO_UTI_NEO_P2] ) / [TX_INTERNACAO_UTI_NEO_P2] ,
26,[VAR_IDADE_MEDIA],[Crescimento Representatividade (cópia)_648799848219643920],( [IDADE_MEDIA_P1] - [IDADE_MEDIA_P2] ) / [IDADE_MEDIA_P2] ,
27,[VAR_TX_INTERNACAO_UTI],[Crescimento Taxa Medicamento (cópia)_1697294133639282696],( [TX_INTERNACAO_UTI_P1] - [TX_INTERNACAO_UTI_P2] ) / [TX_INTERNACAO_UTI_P2] ,
28,[VAR_TEMPO_MEDIO_INTERNADO],[Crescimento Taxa Reinternacao (cópia)_1531223899172200468],( [TEMPO_MEDIO_INTERNADO_P1] - [TEMPO_MEDIO_INTERNADO_P2] ) / [TEMPO_MEDIO_INTERNADO_P2] ,
29,[VAR_TEMPO_MEDIO_UTI],[Crescimento Tempo Medio Internacao (cópia)_1531223899172417557],( [TEMPO_MEDIO_INTERNADO_UTI_P1] - [TEMPO_MEDIO_INTERNADO_UTI_P2] ) / [TEMPO_MEDIO_INTERNADO_UTI_P2] ,
30,[VAR_SINISTRO],[Crescimento Total de internacao (cópia)_1697294133629923329],(SUM([SINISTRO_P1]) - SUM([SINISTRO_P2])) / SUM([SINISTRO_P2]) ,
31,[VAR_CUSTO_MEDIO],[Crescimento Total de internacao (cópia)_1697294133630418946],( [CUSTO_MEDIO_P1] - [CUSTO_MEDIO_P2] ) / [CUSTO_MEDIO_P2] ,
32,[CUSTO_MEDIO_P2],[Custo Médio_P1 (cópia)_970807216965283853],SUM([SINISTRO_P2]) / SUM([QTD_INTERNACAO_P2]) ,
33,[FILTRO_P2],[FILTRO_P1 (cópia)_354939971395620866],([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P2] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P2]) ,
34,[Mascara_Indicadores_hist],[Mascara_Valores_Ranking_Prestadr (cópia) (cópia)_1531223899440341018],"IF [Parameters].[lista_indicadores_hist] in(  'SINISTRO TOTAL DE INTERNACOES' 								,'CUSTO MEDIO DE INTERNACOES DE PARTO' 								,'CUSTO MEDIO DE HONORARIOS MEDICOS NAS INTERNACOES DE PARTO' ) then       IF LEN(STR(ROUND([Valores_indicadores_hist],0))) > 9         THEN ""R$ "" + STR(ROUND([Valores_indicadores_hist] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (9,8,7)         THEN ""R$ "" + STR(ROUND([Valores_indicadores_hist] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (6,5,4)         THEN ""R$ "" + STR(ROUND([Valores_indicadores_hist] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],2))) == 0         THEN """"     ELSE ""R$ "" + STR(ROUND([Valores_indicadores_hist],2))     END  ELSEIF [Parameters].[lista_indicadores_hist] in(  'TEMPO MEDIO DE INTERNACOES DE PARTO' 									,'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI' 									,'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI NEO' ) then       IF LEN(STR(ROUND([Valores_indicadores_hist],0))) > 9         THEN STR(ROUND([Valores_indicadores_hist] / 10^9, 2)) + ""B"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_indicadores_hist] / 10^6, 2)) + ""M"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_indicadores_hist] / 10^3, 2)) + ""K"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_indicadores_hist],2)) + "" d""     END 	 ELSEIF [Parameters].[lista_indicadores_hist] in( 'QUANTIDADE TOTAL DE INTERNACOES DE PARTO' ) then       IF  LEN(STR(ROUND([Valores_indicadores_hist],0))) > 9         THEN STR(ROUND([Valores_indicadores_hist] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_indicadores_hist] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_indicadores_hist] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_indicadores_hist],2))     END 	 ELSEIF [Parameters].[lista_indicadores_hist] in(  'TAXA DE SINISTRO EM REEMBOLSO NAS INTERNACOES DE PARTO' 									,'TAXA DE INTERNACOES DE PARTO COM UTI' 									,'TAXA DE INTERNACOES DE PARTO COM ORIGEM PS' 									,'TAXA DE INTERNACOES DE PARTO COM UTI NEO' 									,'TAXA DE REINTERNACAO GERAL EM ATE 07 DIAS' 									,'TAXA DE REINTERNACAO PRESTADOR EM ATE 07 DIAS' 									,'TAXA DE SINISTRO DE MATERIAL DE INTERNACOES DE PARTO' 									,'TAXA DE SINISTRO DE MEDICAMENTOS DE INTERNACOES DE PARTO' ) then       IF  LEN(STR(ROUND([Valores_indicadores_hist],0))) > 9         THEN STR(ROUND([Valores_indicadores_hist] / 10^9, 2)) + ""B"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_indicadores_hist] / 10^6, 2)) + ""M"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_indicadores_hist] / 10^3, 2)) + ""K"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_indicadores_hist],2))     END 	 ELSE     IF  LEN(STR(ROUND([Valores_indicadores_hist],0))) > 9         THEN STR(ROUND([Valores_indicadores_hist] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_indicadores_hist] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_indicadores_hist] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_indicadores_hist],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_indicadores_hist],2))     END END ",
35,[Mascara_Valores_Ranking_Especialidade],[Mascara_Valores_Ranking_Prestadr (cópia)_1531223899440336921],"IF [Parameters].[lista_ranking_especialidade] in(  'SINISTRO TOTAL DE INTERNACOES' 								,'CUSTO MEDIO DE INTERNACOES DE PARTO' 								,'CUSTO MEDIO DE HONORARIOS MEDICOS NAS INTERNACOES DE PARTO' ) then       IF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) > 9         THEN ""R$ "" + STR(ROUND([Valores_Ranking_Especialidade] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (9,8,7)         THEN ""R$ "" + STR(ROUND([Valores_Ranking_Especialidade] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (6,5,4)         THEN ""R$ "" + STR(ROUND([Valores_Ranking_Especialidade] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],2))) == 0         THEN """"     ELSE ""R$ "" + STR(ROUND([Valores_Ranking_Especialidade],2))     END  ELSEIF [Parameters].[lista_ranking_especialidade] in(  'TEMPO MEDIO DE INTERNACOES DE PARTO' 									,'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI' 									,'TEMPO MEDIO DE INTERNACOES DE PARTO COM UTI NEO' ) then       IF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) > 9         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^9, 2)) + ""B"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^6, 2)) + ""M"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^3, 2)) + ""K"" + "" d""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Especialidade],2)) + "" d""     END 	 ELSEIF [Parameters].[lista_ranking_especialidade] in( 'QUANTIDADE TOTAL DE INTERNACOES DE PARTO' ) then       IF  LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) > 9         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Especialidade],2))     END 	 ELSEIF [Parameters].[lista_ranking_especialidade] in(  'TAXA DE SINISTRO EM REEMBOLSO NAS INTERNACOES DE PARTO' 									,'TAXA DE INTERNACOES DE PARTO COM UTI' 									,'TAXA DE INTERNACOES DE PARTO COM ORIGEM PS' 									,'TAXA DE INTERNACOES DE PARTO COM UTI NEO' 									,'TAXA DE REINTERNACAO GERAL EM ATE 07 DIAS' 									,'TAXA DE REINTERNACAO PRESTADOR EM ATE 07 DIAS' 									,'TAXA DE SINISTRO DE MATERIAL DE INTERNACOES DE PARTO' 									,'TAXA DE SINISTRO DE MEDICAMENTOS DE INTERNACOES DE PARTO' ) then       IF  LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) > 9         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^9, 2)) + ""B"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^6, 2)) + ""M"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^3, 2)) + ""K"" + "" %""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Especialidade],2))     END 	 ELSE     IF  LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) > 9         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^9, 2)) + ""B""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (9,8,7)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^6, 2)) + ""M""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],0))) IN  (6,5,4)         THEN STR(ROUND([Valores_Ranking_Especialidade] / 10^3, 2)) + ""K""     ELSEIF LEN(STR(ROUND([Valores_Ranking_Especialidade],2))) == 0         THEN """"     ELSE STR(ROUND([Valores_Ranking_Especialidade],2))     END END ",
36,[Ordenador Ranking Especialidades],[Ordenador Ranking Prestadores (copy)_864128214583279619],IF [Parameters].[Ordenacao Ranking Especialidades] = 1 THEN 1 ELSE -1 END * [Valores_Ranking_Especialidade] ,
37,[IDADE_MEDIA_P2],[QTDE_IDADE_MEDIA_BENEFICIARIO_P1 (cópia)_877920491174490118],SUM([QTD_IDADE_P2]) / SUM([QTD_INTERNACAO_P2]) ,
38,[QTDE_REINTERNACAO_GERAL_P1],[QTDE_INTERNACAO_PS_P1 (cópia)_637540871044366579],IF      [FILTRO_P1]  THEN     [QTD_DISTINTA_INTERNACAO_COM_REINTERNACAO_QUALQUER_PRESTADOR] ELSE      0 END ,
39,[QTDE_REINTERNACAO_GERAL_P2],[QTDE_INTERNACAO_PS_P2 (cópia)_637540871044366580],IF      [FILTRO_P2]  THEN     [QTD_DISTINTA_INTERNACAO_COM_REINTERNACAO_QUALQUER_PRESTADOR] ELSE      0 END ,
40,[QTDE_INTERNACAO_PS_P1],[QTDE_INTERNACAO_UTI_NEO_P1 (cópia)_637540871042138348],IF      [FILTRO_P1]  THEN     [QTD_DISTINTA_INTERNACAO_COM_ORIGEM_PS] ELSE      0 END ,
41,[QTDE_INTERNACAO_PS_P2],[QTDE_INTERNACAO_UTI_NEO_P2 (cópia)_637540871042138349],IF      [FILTRO_P2]  THEN     [QTD_DISTINTA_INTERNACAO_COM_ORIGEM_PS] ELSE      0 END ,
42,[QTDE_INTERNACAO_UTI_NEO_P1],[QTDE_INTERNACAO_UTI_P1 (cópia)_637540871038922979],IF      [FILTRO_P1]  THEN     [QTD_DISTINTA_INTERNACAO_COM_UTI_NEONATAL] ELSE      0 END ,
43,[QTDE_INTERNACAO_UTI_NEO_P2],[QTDE_INTERNACAO_UTI_P2 (cópia)_637540871038922980],IF      [FILTRO_P2]  THEN     [QTD_DISTINTA_INTERNACAO_COM_UTI_GERAL] ELSE      0 END ,
44,[QTDE_REINTERNACAO_PREST_P1],[QTDE_REINTERNACAO_GERAL_P1 (cópia)_637540871048286459],IF      [FILTRO_P1]  THEN     [QTD_DISTINTA_INTERNACAO_COM_REINTERNACAO_MESMO_PRESTADOR] ELSE      0 END ,
45,[QTDE_REINTERNACAO_PREST_P2],[QTDE_REINTERNACAO_GERAL_P2 (cópia)_637540871048286460],IF      [FILTRO_P2]  THEN     [QTD_DISTINTA_INTERNACAO_COM_REINTERNACAO_MESMO_PRESTADOR] ELSE      0 END ,
46,[QTDE_SINISTRO_MATERIAL_P1],[QTDE_REINTERNACAO_PREST_P1 (cópia)_637540871051387139],IF      [FILTRO_P1]  THEN     [VAL_TOTAL_SINISTRO_MATERIAL] ELSE      0 END ,
47,[QTDE_SINISTRO_MATERIAL_P2],[QTDE_REINTERNACAO_PREST_P2 (cópia)_637540871051387140],IF      [FILTRO_P2]  THEN     [VAL_TOTAL_SINISTRO_MATERIAL] ELSE      0 END ,
48,[QTDE_SINISTRO_MEDICAMENTOS_P1],[QTDE_SINISTRO_MATERIAL_P1 (cópia)_637540871055683851],IF      [FILTRO_P1]  THEN     [VAL_TOTAL_SINISTRO_MEDICAMENTO] ELSE      0 END ,
49,[QTDE_SINISTRO_MEDICAMENTOS_P2],[QTDE_SINISTRO_MATERIAL_P2 (cópia)_637540871055683852],IF      [FILTRO_P2]  THEN     [VAL_TOTAL_SINISTRO_MEDICAMENTO] ELSE      0 END ,
50,[QTD_INTERNACAO_P2],[QTDE_TOTAL_INTERNACAO_P1 (cópia)_354939971396657156],IF      [FILTRO_P2]  THEN     [QTD_DISTINTA_INTERNACAO] ELSE      0 END ,
51,[QTDE_INTERNACAO_UTI_P1],[QTDE_TOTAL_INTERNACAO_P1 (cópia)_354939971421397000],IF      [FILTRO_P1]  THEN     [QTD_DISTINTA_INTERNACAO_COM_UTI_GERAL] ELSE      0 END ,
52,[QTDE_INTERNACAO_UTI_P2],[QTDE_TOTAL_INTERNACAO_P2 (cópia)_354939971421397001],IF      [FILTRO_P2]  THEN     [QTD_DISTINTA_INTERNACAO_COM_UTI_GERAL] ELSE      0 END ,
53,[CUSTO_MEDIO_P1],[Repres. Internacao (cópia)_1207246186106200064],SUM([SINISTRO_P1]) / SUM([QTD_INTERNACAO_P1]) ,
